distance,linear_encoder_position,measurement_delta,linear_encoder_timestamp,distance_timestamp,measurement_time_delta
"[0.6858459085468073, 0]",8,7.314154091453193,1711822866.5152102,1711822866.5132096,0.002000570297241211
"[0.6821261295826945, 0]",8,7.317873870417306,1711822866.6711018,1711822866.6711018,0.0
"[0.6901212044639095, 0]",8,7.309878795536091,1711822866.8097613,1711822866.8087626,0.0009987354278564453
"[0.685753384443667, 0]",8,7.314246615556333,1711822866.9469001,1711822866.9469001,0.0
"[0.6860065539042743, 0]",8,7.313993446095726,1711822867.0813038,1711822867.0789876,0.0023162364959716797
"[0.6843240342272437, 0]",8,7.315675965772757,1711822867.286254,1711822867.285254,0.0009999275207519531
"[0.6929747236976911, 0]",8,7.3070252763023085,1711822867.4249513,1711822867.423945,0.0010063648223876953
"[0.6952970808947531, 0]",8,7.304702919105247,1711822867.5763404,1711822867.5763404,0.0
"[0.6985717118318715, 0]",8,7.301428288168129,1711822867.7059615,1711822867.704961,0.0010004043579101562
"[0.6957035351227803, 0]",8,7.30429646487722,1711822867.8385665,1711822867.8375611,0.001005411148071289
"[0.6885073753624655, 0]",8,7.311492624637534,1711822867.9730384,1711822867.9720528,0.0009856224060058594
"[0.685533958561625, 0]",8,7.314466041438375,1711822868.1095243,1711822868.1095243,0.0
"[0.7000733594945796, 0]",8,7.29992664050542,1711822868.2437243,1711822868.2427227,0.001001596450805664
"[0.6968304456607564, 0]",8,7.303169554339243,1711822868.3718822,1711822868.3708787,0.0010035037994384766
"[0.6957671313448139, 0]",8,7.304232868655186,1711822868.5390658,1711822868.5380585,0.0010073184967041016
"[0.6864519082386885, 0]",8,7.313548091761311,1711822868.6692426,1711822868.6682317,0.001010894775390625
"[0.703775386088291, 0]",8,7.296224613911709,1711822868.821241,1711822868.820317,0.0009238719940185547
"[0.6903541499362457, 0]",8,7.309645850063754,1711822869.0259004,1711822869.0249002,0.0010001659393310547
"[0.7017608223148616, 0]",8,7.298239177685138,1711822869.1879687,1711822869.1879687,0.0
"[0.686091932330805, 0]",8,7.313908067669195,1711822869.3188877,1711822869.3178873,0.0010004043579101562
"[0.6931639094198491, 0]",8,7.306836090580151,1711822869.476985,1711822869.4759743,0.0010106563568115234
"[0.6886240493491627, 0]",8,7.311375950650837,1711822869.6096961,1711822869.6096961,0.0
"[0.6873783314346459, 0]",8,7.312621668565354,1711822869.740484,1711822869.7394977,0.000986337661743164
"[0.6940393292320934, 0]",8,7.305960670767907,1711822869.948172,1711822869.9471726,0.00099945068359375
"[0.6851560705542481, 0]",8,7.314843929445752,1711822870.081796,1711822870.0807884,0.0010075569152832031
"[0.6936613038686189, 0]",8,7.306338696131381,1711822870.2135706,1711822870.2115757,0.0019948482513427734
"[0.6924902365017424, 0]",8,7.307509763498258,1711822870.3730655,1711822870.3725448,0.0005207061767578125
"[0.6976030126617411, 0]",8,7.302396987338259,1711822870.5116446,1711822870.5106323,0.0010123252868652344
"[0.6996347262331406, 0]",8,7.300365273766859,1711822870.6467257,1711822870.6457229,0.0010027885437011719
"[0.6950769553607482, 0]",8,7.304923044639252,1711822870.8388565,1711822870.837856,0.0010004043579101562
"[0.6950288794879522, 0]",8,7.3049711205120476,1711822870.990384,1711822870.9893591,0.0010249614715576172
"[0.6880219153834912, 0]",8,7.311978084616509,1711822871.1391919,1711822871.1381905,0.0010013580322265625
"[0.6837889236616309, 0]",8,7.316211076338369,1711822871.3074644,1711822871.306464,0.0010004043579101562
"[0.6943008516744559, 0]",8,7.3056991483255445,1711822871.448537,1711822871.4475296,0.0010075569152832031
"[0.6929091020062715, 0]",8,7.307090897993729,1711822871.5933344,1711822871.5923343,0.0010001659393310547
"[0.68401913027199, 0]",8,7.31598086972801,1711822871.788557,1711822871.7875533,0.0010037422180175781
"[0.6865803907906313, 0]",8,7.313419609209369,1711822871.9202588,1711822871.9192615,0.000997304916381836
"[0.6839900499957923, 0]",8,7.316009950004208,1711822872.0593748,1711822872.0573742,0.002000570297241211
"[0.685140687315884, 0]",8,7.314859312684116,1711822872.2297173,1711822872.2287278,0.0009894371032714844
"[0.6901150942860945, 0]",8,7.309884905713906,1711822872.3629591,1711822872.3629591,0.0
"[0.6983913761798859, 0]",8,7.301608623820114,1711822872.4975114,1711822872.496516,0.0009953975677490234
"[0.6926370298175664, 0]",8,7.307362970182433,1711822872.6876795,1711822872.6856709,0.002008676528930664
"[0.6862277823941848, 0]",8,7.313772217605815,1711822872.829848,1711822872.828866,0.000982046127319336
"[0.6940160843138329, 0]",8,7.305983915686167,1711822872.9664652,1711822872.9644659,0.001999378204345703
"[0.6844573473678446, 0]",8,7.315542652632155,1711822873.142802,1711822873.141793,0.0010089874267578125
"[0.6904540914442222, 0]",8,7.309545908555778,1711822873.3158166,1711822873.3143775,0.0014390945434570312
"[0.6872305464951907, 0]",8,7.312769453504809,1711822873.4469755,1711822873.4459753,0.0010001659393310547
"[0.6947234281277174, 0]",8,7.305276571872283,1711822873.6420853,1711822873.6410055,0.0010797977447509766
"[0.6900481813195317, 0]",8,7.309951818680468,1711822873.7793946,1711822873.7783923,0.0010023117065429688
"[0.6871366824261138, 0]",8,7.312863317573886,1711822873.9178302,1711822873.9158304,0.0019998550415039062
"[0.6993080583120986, 0]",8,7.3006919416879015,1711822874.0560687,1711822874.0540679,0.0020008087158203125
"[0.6821316886610608, 0]",8,7.317868311338939,1711822874.187651,1711822874.18665,0.0010008811950683594
"[0.6818435175032177, 0]",8,7.318156482496782,1711822874.322869,1711822874.321862,0.001007080078125
"[0.690517337568598, 0]",8,7.309482662431402,1711822874.456533,1711822874.4545326,0.0020003318786621094
"[0.6878851618773865, 0]",8,7.312114838122613,1711822874.6070125,1711822874.6050024,0.0020101070404052734
"[0.6885411538045354, 0]",8,7.311458846195465,1711822874.737767,1711822874.7367527,0.0010142326354980469
"[0.6883726436429028, 0]",8,7.311627356357097,1711822874.868461,1711822874.8674605,0.0010004043579101562
"[0.694249726123312, 0]",8,7.305750273876688,1711822875.0020692,1711822875.0000877,0.001981496810913086
"[0.6897176225832613, 0]",8,7.310282377416739,1711822875.1336756,1711822875.1326945,0.0009810924530029297
"[0.686707167482284, 0]",8,7.313292832517716,1711822875.264804,1711822875.2638035,0.0010004043579101562
"[0.7088328911279975, 0]",8,7.291167108872003,1711822875.4401093,1711822875.4380999,0.0020093917846679688
"[0.6945869620229996, 0]",8,7.305413037977001,1711822875.575399,1711822875.5743935,0.001005411148071289
"[0.6941644710224287, 0]",8,7.305835528977571,1711822875.7071166,1711822875.7061074,0.001009225845336914
"[0.6832321165464343, 0]",8,7.316767883453566,1711822875.8885703,1711822875.8875701,0.0010001659393310547
"[0.7001695757475201, 0]",8,7.29983042425248,1711822876.0221844,1711822876.021173,0.0010113716125488281
"[0.6883846447686053, 0]",8,7.311615355231394,1711822876.155746,1711822876.1537523,0.0019936561584472656
"[0.6870575661573809, 0]",8,7.312942433842619,1711822876.3233774,1711822876.322367,0.0010104179382324219
"[0.6889332162247176, 0]",8,7.311066783775282,1711822876.4535067,1711822876.4525235,0.0009832382202148438
"[0.6838370738865744, 0]",8,7.316162926113425,1711822876.5855947,1711822876.5836012,0.001993417739868164
"[0.6852582587994651, 0]",8,7.314741741200535,1711822876.7708352,1711822876.7708352,0.0
"[0.6851552452090522, 0]",8,7.314844754790948,1711822876.908569,1711822876.9075565,0.001012563705444336
"[0.685280675427876, 0]",8,7.314719324572124,1711822877.0426087,1711822877.0416172,0.0009915828704833984
"[0.6856715900386889, 0]",8,7.314328409961311,1711822877.251434,1711822877.2494295,0.0020046234130859375
"[0.6800570587926853, 0]",8,7.319942941207315,1711822877.383975,1711822877.3829904,0.0009846687316894531
"[0.6836875706180966, 0]",8,7.316312429381903,1711822877.5405853,1711822877.5396023,0.0009829998016357422
"[0.6885823778149263, 0]",8,7.311417622185074,1711822877.7158616,1711822877.7138555,0.002006053924560547
"[0.688581235379455, 0]",8,7.311418764620545,1711822877.8440115,1711822877.8420172,0.0019943714141845703
"[0.6852353304774385, 0]",8,7.314764669522561,1711822877.9751985,1711822877.9741962,0.0010023117065429688
"[0.683155772146976, 0]",8,7.316844227853024,1711822878.1573608,1711822878.1563725,0.0009882450103759766
"[0.6815960900569976, 0]",8,7.318403909943003,1711822878.2899616,1711822878.288952,0.0010094642639160156
"[0.6836032932392466, 0]",8,7.316396706760753,1711822878.421407,1711822878.4203525,0.001054525375366211
"[0.6838026495596558, 0]",8,7.316197350440344,1711822878.5915616,1711822878.5895607,0.0020008087158203125
"[0.6843080248976438, 0]",8,7.315691975102356,1711822878.72368,1711822878.7228208,0.0008592605590820312
"[0.6954572789180216, 0]",8,7.304542721081979,1711822878.8544724,1711822878.8534846,0.0009877681732177734
"[0.6834337741430747, 0]",8,7.316566225856925,1711822879.0426202,1711822879.0416324,0.0009877681732177734
"[0.6850925903575414, 0]",8,7.3149074096424584,1711822879.1702085,1711822879.1692257,0.0009827613830566406
"[0.6819019675028126, 0]",8,7.318098032497187,1711822879.3030956,1711822879.3020883,0.0010073184967041016
"[0.6851512084072957, 0]",8,7.314848791592704,1711822879.5027137,1711822879.5027137,0.0
"[0.6833124516408303, 0]",8,7.31668754835917,1711822879.6372635,1711822879.63527,0.001993417739868164
"[0.6838284465646768, 0]",8,7.316171553435323,1711822879.7720695,1711822879.771067,0.0010025501251220703
"[0.682314735963733, 0]",8,7.317685264036267,1711822879.964231,1711822879.963231,0.0009999275207519531
"[0.6928281865621554, 0]",8,7.3071718134378445,1711822880.0999973,1711822880.0989969,0.0010004043579101562
"[0.6826575491987251, 0]",8,7.3173424508012745,1711822880.2306054,1711822880.2296124,0.0009930133819580078
"[0.6906533196505049, 0]",8,7.3093466803494955,1711822880.4202437,1711822880.419263,0.0009808540344238281
"[0.6819770908230657, 0]",8,7.318022909176935,1711822880.5504022,1711822880.549421,0.0009810924530029297
"[0.6839588486501734, 0]",8,7.316041151349826,1711822880.6827996,1711822880.6818123,0.0009872913360595703
"[0.6832028612848212, 0]",8,7.316797138715179,1711822880.869977,1711822880.869977,0.0
"[0.6843298833241412, 0]",8,7.315670116675859,1711822881.0005567,1711822880.999549,0.0010077953338623047
"[0.6840699860230035, 0]",8,7.315930013976996,1711822881.1610844,1711822881.1600914,0.0009930133819580078
